names, test_score_rating, academic_progress_rating,    college_readiness_rating, equity_overall_rating
Kent County Middle School,6/10,5/10,,3/10
Kent County High School,7/10,,5/10,3/10
Lois P. Rockwell Elementary School,8/10,7/10,,4/10
Argyle Middle School,5/10,4/10,,4/10
Forest Oak Middle School,5/10,5/10,,4/10
Broad Acres Elementary School,4/10,6/10,,5/10
Brookhaven Elementary School,4/10,5/10,,4/10
Cannon Road Elementary School,5/10,6/10,,4/10
Col. E. Brooke Lee Middle School,5/10,6/10,,4/10
Fields Road Elementary School,8/10,7/10,,4/10
Forest Knolls Elementary School,7/10,7/10,,4/10
Gaithersburg Middle School,5/10,4/10,,3/10
Galway Elementary School,5/10,7/10,,5/10
Germantown Elementary School,7/10,5/10,,5/10
Jackson Road Elementary School,4/10,4/10,,4/10
Kemp Mill Elementary School,4/10,5/10,,4/10
