names, ratings, addresses, classes, types, grades, student_nums, st_ratios, districts, 
Homestead/Wakefield Elementary School,9/10,900 South Main Street, Bel Air, MD, 21014,Above average,Public district,PK-5,949,13:1,Harford County Public Schools
Jarrettsville Elementary School,8/10,3818 Norrisville Road, Jarrettsville, MD, 21084,Above average,Public district,K-5,441,13:1,Harford County Public Schools
Joppatowne Elementary School,8/10,407 Trimble Road, Joppa, MD, 21085,Above average,Public district,PK-5,558,13:1,Harford County Public Schools
Youths Benefit Elementary School,8/10,1901 Fallston Road, Fallston, MD, 21047,Above average,Public district,K-5,997,15:1,Harford County Public Schools
North Harford Elementary School,7/10,120 Pylesville Road, Pylesville, MD, 21132,Above average,Public district,PK-5,405,14:1,Harford County Public Schools
Burleigh Manor Middle School,8/10,4200 Centennial Lane, Ellicott City, MD, 21042,Above average,Public district,6-8,771,14:1,Howard County Public Schools
Atholton Elementary School,8/10,6700 Seneca Drive, Columbia, MD, 21046,Above average,Public district,PK-5,424,12:1,Howard County Public Schools
Centennial High School,9/10,4300 Centennial Lane, Ellicott City, MD, 21042,Above average,Public district,9-12,1465,15:1,Howard County Public Schools
Laurel Woods Elementary School,6/10,9250 North Laurel Road, Laurel, MD, 20723,Average,Public district,PK-5,610,11:1,Howard County Public Schools
Gorman Crossing Elementary School,7/10,9999 Winter Sun Road, Laurel, MD, 20723,Above average,Public district,PK-5,698,12:1,Howard County Public Schools
Rosa M. Parks Middle School,8/10,19200 Olney Mill Road, Olney, MD, 20832,Above average,Public district,6-8,902,16:1,Montgomery County Public Schools
Rocky Hill Middle School,7/10,22401 Brick Haven Way, Clarksburg, MD, 20871,Above average,Public district,6-8,1279,15:1,Montgomery County Public Schools
Ashburton Elementary School,7/10,6314 Lone Oak Drive, Bethesda, MD, 20817,Above average,Public district,PK-5,911,15:1,Montgomery County Public Schools
Candlewood Elementary School,8/10,7210 Osprey Drive, Derwood, MD, 20855,Above average,Public district,K-5,356,16:1,Montgomery County Public Schools
Fallsmead Elementary School,9/10,1800 Greenplace Terrace, Rockville, MD, 20850,Above average,Public district,PK-5,535,16:1,Montgomery County Public Schools
